Comment,Designator,Footprint,LCSC
Nav_Button,U1,Nav_Button_5x,C145898
Slider,U2,Slider,C381098
Conn_01x04,J1,PinSocket_1x04_P2.54mm_Vertical,
Conn_01x04,J2,PinSocket_1x04_P2.54mm_Vertical,
